abandon,放弃,/əˈbændən/,He had to abandon his plan.,cet4
ability,能力,/əˈbɪləti/,She has the ability to succeed.,cet4
abroad,在国外,/əˈbrɔːd/,He went abroad to study.,cet4
absent,缺席的,/ˈæbsənt/,He was absent from school today.,cet4
absolute,绝对的,/ˈæbsəluːt/,I have absolute confidence in you.,cet4
absorb,吸收,/əbˈzɔːb/,Plants absorb sunlight.,cet4
abstract,抽象的,/ˈæbstrækt/,This is an abstract concept.,cet4
abundant,丰富的,/əˈbʌndənt/,The area has abundant natural resources.,cet4
abuse,滥用,/əˈbjuːz/,Don't abuse your power.,cet4
academic,学术的,/ˌækəˈdemɪk/,He has strong academic background.,cet4
accept,接受,/əkˈsept/,I accept your apology.,cet4
access,进入,/ˈækses/,Students have access to the library.,cet4
accident,事故,/ˈæksɪdənt/,There was a car accident.,cet4
accomplish,完成,/əˈkʌmplɪʃ/,We accomplished our goal.,cet4
according,按照,/əˈkɔːrdɪŋ/,According to the report, sales increased.,cet4
account,账户,/əˈkaʊnt/,Please check your bank account.,cet4
accurate,准确的,/ˈækjərət/,The data is accurate.,cet4
accuse,指控,/əˈkjuːz/,He was accused of stealing.,cet4
achieve,实现,/əˈtʃiːv/,She achieved her dream.,cet4
acknowledge,承认,/əkˈnɑːlɪdʒ/,He acknowledged his mistake.,cet4
acquire,获得,/əˈkwaɪər/,She acquired new skills.,cet4
action,行动,/ˈækʃən/,We need to take action now.,cet4
active,积极的,/ˈæktɪv/,He is an active participant.,cet4
actual,实际的,/ˈæktʃuəl/,The actual cost was higher.,cet4
adapt,适应,/əˈdæpt/,You need to adapt to changes.,cet4
addition,加,/əˈdɪʃn/,In addition, we need more time.,cet4
address,地址,/əˈdres/,Please write your address here.,cet4
adequate,足够的,/ˈædɪkwət/,The food is adequate for everyone.,cet4
adjust,调整,/əˈdʒʌst/,You need to adjust your schedule.,cet4
administrate,管理,/ədˈmɪnɪstreɪt/,She administrates the department.,cet4
admire,钦佩,/ədˈmaɪər/,I admire your courage.,cet4
admit,承认,/ədˈmɪt/,He admitted his fault.,cet4
adopt,采用,/əˈdɑːpt/,The company adopted new policies.,cet4
adult,成年人,/ˈædʌlt/,This movie is for adults only.,cet4
advance,前进,/ədˈvæns/,Technology continues to advance.,cet4
advantage,优势,/ədˈvæntɪdʒ/,Being tall is an advantage in basketball.,cet4
adventure,冒险,/ədˈventʃər/,Life is an adventure.,cet4
advertise,做广告,/ˈædvərtaɪz/,They advertise on TV.,cet4
advice,建议,/ədˈvaɪs/,Can you give me some advice?,cet4
advise,建议,/ədˈvaɪz/,I advise you to study harder.,cet4
affect,影响,/əˈfekt/,The weather affects our mood.,cet4
afford,负担得起,/əˈfɔːrd/,I can't afford this car.,cet4
afraid,害怕的,/əˈfreɪd/,She is afraid of dogs.,cet4
afternoon,下午,/ˌæftərˈnuːn/,We meet every afternoon.,cet4
afterward,之后,/ˈæftərwərd/,We went to dinner afterward.,cet4
agency,机构,/ˈeɪdʒənsi/,She works at a travel agency.,cet4
agenda,议程,/əˈdʒendə/,What's on the agenda today?,cet4
agent,代理人,/ˈeɪdʒənt/,He is a real estate agent.,cet4
aggressive,侵略性的,/əˈɡresɪv/,The dog is very aggressive.,cet4
agree,同意,/əˈɡriː/,I agree with you.,cet4
